Year,Month,Type of abuse,No of complaints
2023,October,356 - Kidnapping or Abducting with Intent Secretly and Wrongfully to Confine a Person,0.0
2023,October,"71 - CYPO: Neglect of Children, Cruelty",47.0
2023,October,CYPO 20 - Prohibition of Publication of Certain Matters,0.0
2023,October,CYPO 72 - Seduction or Prostitution of Girl Under 16 Years,0.0
2023,October,76 - CYPO: Sale of Tobacco to Person Under 16 Years,0.0
2023,October,CYPO 77 - Preventing Children from Receiving Education,2.0
2023,October,286A - Obscene Publications,0.0
2023,October,"358A - Serfdom, Slavery, Child Soldiers",0.0
2023,October,365A - Gross Indecency,0.0
2023,October,286C - Duty to Inform of Use of Premises for Child Abuse,0.0
2023,October,360E - Soliciting a Child,1.0
2023,October,365C - Publication of Sexual Abuse,0.0
2023,October,CYPO 11 - Restrictions on Reports of Proceedings in Juvenile Courts,0.0
2023,October,,839.0
2023,November,353 - Abduction,24.0
2023,November,288 - Procuring to Beg,27.0
2023,November,35 - CYPO: Child or Young Person in Need of Care & Protection,208.0
2023,November,Child Labor,19.0
2023,November,Compulsory Education,202.0
2023,November,308A - Cruelty to Children,217.0
2023,November,365B - Grave Sexual Abuse,39.0
2023,November,311 - Grievous Hurt,21.0
2023,November,360B - Sexual Exploitation of Children,0.0
2023,November,360D - Offences Related to Adoption,0.0
2023,November,364A - Incest,0.0
2023,November,363 - Rape,3.0
2023,November,Juvenile Delinquency,27.0
2023,November,352 - Kidnapping from Lawful Guardianship,1.0
2023,November,360C - Trafficking,5.0
2023,November,360A - Procreation,3.0
2023,November,288B - Trafficking Restricted Articles/Drugs,1.0
2023,November,345 - Sexual Harassment,39.0
2023,November,288A - Hiring or Employing Children to Act as Procurers for Sexual Intercourse,1.0
2023,November,310 - Cause Hurt,7.0
2023,November,351 - Kidnapping from Sri Lanka,0.0
2023,November,356 - Kidnapping or Abducting with Intent Secretly and Wrongfully to Confine a Person,1.0
2023,November,"71 - CYPO: Neglect of Children, Cruelty",32.0
2023,November,CYPO 20 - Prohibition of Publication of Certain Matters,0.0
2023,November,CYPO 72 - Seduction or Prostitution of Girl Under 16 Years,0.0
2023,November,76 - CYPO: Sale of Tobacco to Person Under 16 Years,1.0
2023,November,CYPO 77 - Preventing Children from Receiving Education,0.0
2023,November,286A - Obscene Publications,1.0
2023,November,"358A - Serfdom, Slavery, Child Soldiers",0.0
2023,November,365A - Gross Indecency,0.0
2023,November,286C - Duty to Inform of Use of Premises for Child Abuse,0.0
2023,November,360E - Soliciting a Child,0.0
2023,November,365C - Publication of Sexual Abuse,0.0
2023,November,CYPO 11 - Restrictions on Reports of Proceedings in Juvenile Courts,1.0
2023,November,,880.0
2023,December,353 - Abduction,22.0
2023,December,288 - Procuring to Beg,24.0
2023,December,35 - CYPO: Child or Young Person in Need of Care & Protection,259.0
2023,December,Child Labor,13.0
