,Type of abuse,Month,No of complaints
303,"CYPO 20 – Prohibition of publication of certain
matters",September,0
304,CYPO 72- seduction or prostitution of girl under 16y,September,2
305,CYPO 76 - sale of tobacco to person under 16 years,September,0
306,"CYPO 77 - preventing children from receiving
education",September,0
307,286 - A- Obscene Publications,September,0
308,"358A – Serfdom, Slavery, Child Soldiers",September,0
309,365 A - Gross Indecency,September,0
310,"286 - C- Duty to inform of use of premises for
child abuse",September,0
311,360E – Soliciting a Child,September,0
312,365 C - Publication of Sexuel Abuse,September,0
313,"CYPO 11 - Restrictions on reports of proseedings in
juvenile courts",September,0
314,,September,753
315,353 - Abduction,October,10
316,288 - Begging,October,30
317,CYPO 35 - in need of Care & Protection,October,224
318,Child Labor,October,15
319,Compulsory Education,October,181
320,308A - Cruelty,October,182
321,365B - Grave Sexual Abuse,October,31
322,311 - Grievous Hurt,October,28
323,360 B - Sexual Exploitation,October,1
324,360D - Offences related to Adoption,October,0
325,364A - Incest,October,1
326,363 - Rape,October,1
327,Juvenile Delinqency,October,25
328,352 - Kidnapping from lawful guardianship,October,6
329,360C - Trafficking,October,1
330,360A - Procreation,October,2
331,288B - Restricted Articles/Drugs,October,2
332,345 - Sexual Harassment,October,43
333,"288A - Hiring or employing children to act as procures
for sexual intercourse.",October,0
334,310 - Cause hurt,October,6
335,351 - Kidnapping from Sri Lanka,October,0
336,"356 - Kidnapping or abducting with intent secretly
and wrongfully to confine a person",October,0
337,"CYPO 71 – Neglect of children,Crualty",October,47
338,"CYPO 20 – Prohibition of publication of certain
matters",October,0
339,CYPO 72- seduction or prostitution of girl under 16y,October,0
340,CYPO 76 - sale of tobacco to person under 16 years,October,0
341,"CYPO 77 - preventing children from receiving
education",October,2
342,286 - A- Obscene Publications,October,0
343,"358A – Serfdom, Slavery, Child Soldiers",October,0
344,365 A - Gross Indecency,October,0
345,"286 - C- Duty to inform of use of premises for
child abuse",October,0
346,360E – Soliciting a Child,October,1
347,365 C - Publication of Sexuel Abuse,October,0
348,"CYPO 11 - Restrictions on reports of proseedings in
juvenile courts",October,0
349,,October,839
350,353 - Abduction,November,24
351,288 - Begging,November,27
352,CYPO 35 - in need of Care & Protection,November,208
353,Child Labor,November,19
354,Compulsory Education,November,202
355,308A - Cruelty,November,217
356,365B - Grave Sexual Abuse,November,39
357,311 - Grievous Hurt,November,21
358,360 B - Sexual Exploitation,November,0
359,360D - Offences related to Adoption,November,0
360,364A - Incest,November,0
361,363 - Rape,November,3
362,Juvenile Delinqency,November,27
363,352 - Kidnapping from lawful guardianship,November,1
364,360C - Trafficking,November,5
365,360A - Procreation,November,3
366,288B - Restricted Articles/Drugs,November,1
