District,District (sri lankan districts provinces lat long population.csv),District.,Month,Province (sri lankan districts provinces lat long population.csv),Year,F1,Latitude (sri lankan districts provinces lat long population.csv),Longitude (sri lankan districts provinces lat long population.csv),No of complaints,Population
Mullaitivu,Mullaitivu,Mullaitivu,March,Northern,2023-01-01,229,9.2671,80.8061,8,92038
Nuwara Eliya,Nuwara Eliya,Nuwara Eliya,March,Central,2023-01-01,230,6.9708,80.7671,23,711644
Polonnaruwa,Polonnaruwa,Polonnaruwa,March,North Central,2023-01-01,231,7.9403,81.0002,28,403068
Puttalam,Puttalam,Puttalam,March,North Western,2023-01-01,232,8.0983,79.8283,34,762396
Ratnapura,Ratnapura,Ratnapura,March,Sabaragamuwa,2023-01-01,233,6.6828,80.4,67,1096957
Trincomalee,Trincomalee,Trincomalee,March,Eastern,2023-01-01,234,8.5874,81.2335,6,379541
Vavuniya,Vavuniya,Vavuniya,March,Northern,2023-01-01,235,8.7519,80.5007,6,167591
Unknown,,Unknown,March,,2023-01-01,236,,,46,
,,,March,,2023-01-01,237,,,1026,
Ampara,Ampara,Ampara,April,Eastern,2023-01-01,238,7.2914,81.6728,11,649402
Anuradhapura,Anuradhapura,Anuradhapura,April,North Central,2023-01-01,239,8.335,80.4037,32,860575
Badulla,Badulla,Badulla,April,Uva,2023-01-01,240,6.9934,81.055,16,815405
Batticaloa,Batticaloa,Batticaloa,April,Eastern,2023-01-01,241,7.717,81.7056,12,526567
Colombo,Colombo,Colombo,April,Western,2023-01-01,242,6.9271,79.8612,75,2324344
Galle,Galle,Galle,April,Southern,2023-01-01,243,6.0535,80.217,30,1024889
Gampaha,Gampaha,Gampaha,April,Western,2023-01-01,244,7.084,79.8931,54,2290058
Hambanthota,Hambanthota,Hambanthota,April,Southern,2023-01-01,245,6.1241,81.1185,16,594335
Jaffna,Jaffna,Jaffna,April,Northern,2023-01-01,246,9.6615,80.0074,7,583378
Kalutara,Kalutara,Kalutara,April,Western,2023-01-01,247,6.5854,79.9166,28,1221759
Kandy,Kandy,Kandy,April,Central,2023-01-01,248,7.2906,80.6337,33,1374775
Kegalle,Kegalle,Kegalle,April,Sabaragamuwa,2023-01-01,249,7.2513,80.3464,15,840648
Kilinochchi,Kilinochchi,Kilinochchi,April,Northern,2023-01-01,250,9.3842,80.402,4,113510
Kurunegala,Kurunegala,Kurunegala,April,North Western,2023-01-01,251,7.4863,80.0148,47,1618463
Mannar,Mannar,Mannar,April,Northern,2023-01-01,252,8.981,79.9133,4,99548
Matale,Matale,Matale,April,Central,2023-01-01,253,7.4675,80.6234,10,484531
Matara,Matara,Matara,April,Southern,2023-01-01,254,5.9549,80.5353,17,809959
Monaragala,Monaragala,Monaragala,April,Uva,2023-01-01,255,6.8906,81.2152,20,451058
Mullaitivu,Mullaitivu,Mullaitivu,April,Northern,2023-01-01,256,9.2671,80.8061,3,92038
Nuwara Eliya,Nuwara Eliya,Nuwara Eliya,April,Central,2023-01-01,257,6.9708,80.7671,10,711644
Polonnaruwa,Polonnaruwa,Polonnaruwa,April,North Central,2023-01-01,258,7.9403,81.0002,26,403068
Puttalam,Puttalam,Puttalam,April,North Western,2023-01-01,259,8.0983,79.8283,30,762396
Ratnapura,Ratnapura,Ratnapura,April,Sabaragamuwa,2023-01-01,260,6.6828,80.4,50,1096957
